phi0_omega_k,phi1_u_k,y_omega_k1
13.82300854,-0.85000002,11.30973339
11.30973339,-0.85000002,6.28318548
6.28318548,-0.85000002,3.76991153
3.76991153,-0.85000002,4.39822960
4.39822960,-0.85000002,8.79645920
8.79645920,-0.85000002,11.93805218
11.93805218,-0.85000002,13.19468880
13.19468880,-0.85000002,13.19468880
13.19468880,-0.85000002,13.82300854
13.82300854,-0.81000000,13.19468880
13.19468880,-0.76999998,13.19468880
13.19468880,-0.72999996,13.19468880
13.19468880,-0.68999994,11.93805218
11.93805218,-0.64999992,11.93805218
11.93805218,-0.60999990,11.30973339
11.30973339,-0.56999987,10.68141556
10.68141556,-0.52999985,10.68141556
10.68141556,-0.48999986,10.05309677
10.05309677,-0.44999987,9.42477798
9.42477798,-0.40999988,8.79645920
8.79645920,-0.36999989,8.79645920
8.79645920,-0.32999989,8.16814041
8.16814041,-0.28999990,7.53982306
7.53982306,-0.24999991,6.91150427
6.91150427,-0.20999992,5.65486670
5.65486670,-0.16999993,5.65486670
5.65486670,-0.12999994,4.39822960
4.39822960,-0.08999994,3.14159274
3.14159274,-0.04999994,1.88495576
1.88495576,-0.00999994,0.62831855
0.62831855,0.03000006,-0.62831855
-0.62831855,0.07000006,-0.62831855
-0.62831855,0.11000006,-1.25663710
-1.25663710,0.15000007,-1.88495576
-1.88495576,0.19000006,-3.14159274
-3.14159274,0.23000005,-4.39822960
-4.39822960,0.27000004,-6.28318548
-6.28318548,0.31000003,-5.65486670
-5.65486670,0.35000002,-7.53982306
-7.53982306,0.39000002,-7.53982306
-7.53982306,0.43000001,-8.16814041
-8.16814041,0.47000000,-8.79645920
-8.79645920,0.50999999,-8.16814041
-8.16814041,0.55000001,-10.05309677
-10.05309677,0.59000003,-9.42477798
-9.42477798,0.63000005,-10.05309677
-10.05309677,0.67000008,-10.68141556
-10.68141556,0.71000010,-10.68141556
-10.68141556,0.75000012,-10.68141556
-10.68141556,0.79000014,-11.30973339
-11.30973339,0.83000016,-11.30973339
-11.30973339,0.79000014,-7.53982306
-7.53982306,0.75000012,-3.14159274
-3.14159274,0.71000010,-1.25663710
-1.25663710,0.67000008,-5.65486670
-5.65486670,0.63000005,-8.79645920
-8.79645920,0.59000003,-10.05309677
-10.05309677,0.55000001,-9.42477798
-9.42477798,0.50999999,-9.42477798
-9.42477798,0.47000000,-10.05309677
-10.05309677,0.43000001,-8.79645920
-8.79645920,0.39000002,-8.79645920
-8.79645920,0.35000002,-8.16814041
-8.16814041,0.31000003,-7.53982306
-7.53982306,0.27000004,-7.53982306
-7.53982306,0.23000005,-6.28318548
-6.28318548,0.19000006,-6.28318548
-6.28318548,0.15000007,-4.39822960
-4.39822960,0.11000007,-4.39822960
-4.39822960,0.07000007,-2.51327419
-2.51327419,0.03000007,-1.25663710
-1.25663710,-0.00999993,0.00000000
0.00000000,-0.04999993,0.62831855
0.62831855,-0.08999993,1.25663710
1.25663710,-0.12999994,1.88495576
1.88495576,-0.16999993,3.14159274
3.14159274,-0.20999992,3.76991153
3.76991153,-0.24999991,5.02654839
5.02654839,-0.28999990,5.65486670
5.65486670,-0.32999989,7.53982306
7.53982306,-0.36999989,6.91150427
6.91150427,-0.40999988,8.16814041
8.16814041,-0.44999987,8.16814041
8.16814041,-0.48999986,8.79645920
8.79645920,-0.52999985,9.42477798
9.42477798,-0.55000001,9.42477798
9.42477798,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.68141556
10.68141556,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.68141556
10.68141556,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.68141556
10.68141556,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.68141556
10.68141556,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.68141556
10.68141556,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.68141556
